date,nifty_w1_pcr,nifty_w2_pcr,nifty_pcr_delta,nifty_w1_net_delta,nifty_w2_net_delta,nifty_delta_delta,nifty_w1_iv_skew,nifty_w2_iv_skew,nifty_w1_oi_call,nifty_w1_oi_put,nifty_w2_oi_call,nifty_w2_oi_put,nifty_w2_oi_change_call,nifty_w2_oi_change_put,nifty_spot_move_w1,nifty_spot_move_w2,nifty_w2_spot_close,nifty_w2_max_pain,nifty_spot_vs_maxpain,bnf_w1_pcr,bnf_w2_pcr,bnf_pcr_delta,bnf_w1_net_delta,bnf_w2_net_delta,bnf_delta_delta,bnf_w1_iv_skew,bnf_w2_iv_skew,bnf_w1_oi_call,bnf_w1_oi_put,bnf_w2_oi_call,bnf_w2_oi_put,bnf_w2_oi_change_call,bnf_w2_oi_change_put,bnf_spot_move_w1,bnf_spot_move_w2,bnf_w2_spot_close,bnf_w2_max_pain,bnf_spot_vs_maxpain,pcr_agreement,delta_agreement,days_to_expiry,is_expiry_eve,day_of_week,btst_signal_fired,btst_direction,btst_confidence,vix_regime,nifty_5day_momentum,prev_day_gap_pts,prev_5day_ml_accuracy
2023-02-14,1.0637512131313558,1.1014924255510334,0.0377412124196776,4041242.122296886,1943910.4104349767,-2097331.7118619094,2.825778,2.1151300000000006,59247500.0,63024600.0,58760050.0,64723750.0,-561300.0,1891650.0,0.6174149928060951,-0.0980891727980912,17924.8496,17900.0,0.0013863212553817,1.1586876865016675,1.1224936282669826,-0.0361940582346849,1610761.9177463443,704615.378400357,-906146.5393459874,0.9840670000000032,1.216858000000002,22788000.0,26404175.0,21265800.0,23870725.0,-1617825.0,-2388500.0,0.7477245989200418,-0.1162360025670773,41633.3008,41500.0,0.0032017831264533,1,1,0,0,1,0,0,0.0,0,0.0114282465165008,67.3,1.0
2023-02-16,0.758836945293883,0.7844365519215257,0.0255996066276427,11141227.822973292,14537787.9276545,3396560.104681207,-7.767287,-10.537017,97777000.0,74196800.0,76866000.0,60296500.0,-20216050.0,-13388000.0,-0.1066893648002686,-0.206127382981955,18034.0996,18050.0,-0.0008816852713843,0.6323663501558302,0.6597954583115775,0.0274291081557472,8830665.561635947,9844002.473940946,1013336.9123049992,-15.832119,-13.416991,63225850.0,39981900.0,47975550.0,31654050.0,-14225200.0,-8478575.0,-0.3253401147346239,-0.220152839997121,41651.1016,41700.0,-0.0011740001613786,1,1,5,0,3,0,0,0.0,0,0.0077935024823751,75.55,1.0
2023-02-24,0.7106456569679429,0.7252059041253003,0.0145602471573573,-834104.0456086216,194176.14325556764,1028280.1888641892,1.6199650000000003,1.0205190000000002,61466850.0,43681150.0,56804350.0,41194850.0,-4662550.0,-2485100.0,-0.7166848533980179,0.1100043304623282,17474.1504,17500.0,-0.0014793051111658,0.7051037921469532,0.7181106081290312,0.0130068159820779,-78753.5641892766,671422.3857452143,750175.949934491,0.9079270000000008,0.341728999999999,22883475.0,16135225.0,20748475.0,14899700.0,-2134250.0,-1236000.0,-0.8320792772498448,0.1810772171267467,39944.25,40000.0,-0.001395695250255,1,1,4,0,4,0,0,0.0,0,-0.0272001092539526,77.65,1.0
2023-03-06,0.9371536255158768,0.859737214407915,-0.0774164111079619,2289336.853039784,2335496.715570868,46159.8625310841,2.2885980000000004,1.9346580000000009,69117750.0,64773950.0,67891850.0,58369150.0,-1175650.0,-5664900.0,0.0866993888957111,-0.071668906399927,17709.3496,17700.0,0.0005279471133147,0.8261317712064468,0.7675823947669889,-0.0585493764394579,-522890.8774422498,1391660.8152533516,1914551.692695601,0.6699770000000012,0.4230089999999986,33083100.0,27331000.0,30705075.0,23568675.0,-2301125.0,-3425325.0,-0.439195440702837,0.1589894147232637,41356.6992,41300.0,0.0013709798193953,1,1,1,1,0,0,0,0.0,0,0.0173269830304779,114.8,1.0
2023-03-09,0.7021947348970674,0.7706178108851754,0.068423075988108,6488713.442423003,14685914.715271745,8197201.27284874,-2.9857270000000007,-12.226895,115002500.0,80754150.0,93131250.0,71768600.0,-21456050.0,-8381550.0,-0.7805350002815868,-0.1816282935651752,17586.4004,17600.0,-0.0007733020794864,0.9060756066648528,0.8992188774738266,-0.0068567291910263,3415479.408841697,5480345.043084958,2064865.63424326,-2.263349999999999,-26.117065000000004,52745350.0,47791275.0,42134875.0,37888475.0,-10232450.0,-10164900.0,-0.4553783978830821,-0.3319122263647033,41243.3516,41300.0,-0.0013735159195936,1,1,5,0,3,0,0,0.0,1,0.0079209387271767,0.4,1.0
2023-03-10,0.7773771653122327,0.7719316229431643,-0.0054455423690683,-535780.9970273119,1904278.5972843831,2440059.594311695,2.7557910000000003,2.527607000000001,59852800.0,46528200.0,57068850.0,44053250.0,-2862900.0,-2699000.0,-0.1811723278511511,0.1533108020651985,17409.9004,17400.0,0.0005686649419314,0.9549194143532648,0.7899970819829646,-0.1649223323703003,-720142.2356311373,391326.7916903865,1111469.0273215238,1.2266200000000005,1.4038330000000006,21951800.0,20962200.0,22532425.0,17800550.0,632850.0,-3077575.0,-0.7781819966865,0.159427294626068,40489.8984,40500.0,-0.0002494844491879,1,1,4,0,4,0,0,0.0,0,0.0046238058892054,-171.6,1.0
2023-03-13,0.7670970616688664,0.7796756720913269,0.0125786104224605,-4714104.208257944,-4284672.153108372,429432.055149572,0.3438400000000001,-0.0092989999999986,59023300.0,45276600.0,57306200.0,44680250.0,-1934650.0,-430300.0,-1.5743624395403175,-0.0440317090818011,17141.0,17300.0,-0.0092760049005308,0.7976996499374007,0.8920700855364468,0.0943704355990461,-1384120.2525724445,-1676308.4792355453,-292188.2266631008,-2.119162,-0.7084030000000006,23302975.0,18588775.0,19319250.0,17234125.0,-6594975.0,-1369875.0,-2.0306135238530763,-0.33271197906756,39497.5,39900.0,-0.0101905183872397,1,1,1,1,0,0,0,0.0,0,-0.0263053730820838,12.95,1.0
2023-03-15,0.7624488444554806,0.8053348486378429,0.0428860041823623,-3401479.7349513154,-4455395.156905595,-1053915.4219542798,-0.4472060000000013,-0.6524539999999988,90007350.0,68626000.0,75760350.0,61012450.0,-14469200.0,-7083050.0,-1.0678261724416378,-0.3228738892587515,16964.4492,17100.0,-0.0079902859445622,0.7414125349426038,0.7914893757543635,0.0500768408117596,-2593659.704613127,-2446159.4279039493,147500.27670917753,-2.4275490000000026,-1.1470519999999986,35871325.0,26595450.0,30282150.0,23968000.0,-5835775.0,-2304425.0,-1.807090081089571,-0.3556836484578848,39038.0508,39300.0,-0.0067100993679736,1,1,6,0,2,0,0,0.0,0,-0.0466947314740995,143.65,1.0
2023-03-22,0.7408310249307479,0.7335981912185241,-0.0072328337122238,3817111.290995088,7808111.785477103,3991000.4944820153,-0.5322359999999975,0.180928999999999,85286250.0,63182700.0,79677950.0,58451600.0,-5388950.0,-3894700.0,-0.3466679700353481,0.2421310278353775,17159.9492,17100.0,0.0034935534657642,0.8206097889305644,0.7132378356368091,-0.1073719532937552,1744360.7029179046,3389085.6208488173,1644724.9179309127,-1.5744879999999988,-1.767834999999998,33892875.0,27812825.0,34934525.0,24916625.0,1080625.0,-3095750.0,-0.3412161882226638,0.3510329073090989,40022.3008,39900.0,0.0030558163212844,1,1,6,0,2,0,0,0.0,0,0.0113928076197335,73.85,1.0
2023-03-24,0.7914310837546713,0.8621809128686848,0.0707498291140135,-1903477.509410136,-4110088.961777098,-2206611.4523669626,2.034181,1.23189,68235000.0,54003300.0,59125700.0,50977050.0,-8991450.0,-2991700.0,-0.5893426156878745,-0.1854468385729424,16954.5,17050.0,-0.0056327228759326,0.9712554125446592,1.0063358779566918,0.0350804654120325,-1365939.767054957,-1392472.4228021167,-26532.655747159384,0.3608650000000004,1.016680000000001,23504425.0,22828800.0,20281325.0,20409825.0,-580050.0,-2693550.0,-0.1411856387419914,-0.0627103024832833,39442.4492,39500.0,-0.0014591081732317,0,1,4,0,4,0,0,0.0,0,-0.0093986611224159,16.6,1.0
2023-03-28,0.7365594814265658,0.7527955314800349,0.016236050053469,-1696733.7103239484,-562790.452127995,1133943.2581959534,-3.771856999999999,-3.4733160000000005,92060250.0,67807850.0,87751650.0,66059050.0,-4080450.0,-1371550.0,-0.5346879478177824,-0.0212523888284671,16943.1992,17000.0,-0.0033524247297996,0.8056218268291048,0.8936144990384223,0.0879926722093175,1866825.7405582329,398138.4633119201,-1468687.2772463125,-0.6318069999999985,-1.4004660000000015,35428875.0,28542275.0,31211725.0,27891250.0,-3748550.0,-735900.0,-0.0174647687812254,0.039858332906575,39530.6992,39500.0,0.0007765913738253,1,0,0,0,1,0,0,0.0,0,-0.0095023376694998,55.45,1.0
2023-03-29,0.9376794803850278,0.944556307231044,0.006876826846016,2411995.0305094817,-1440207.1151741475,-3852202.145683629,1.2056219999999982,17.499991,97364400.0,91296600.0,83783200.0,79137950.0,-13465600.0,-12014100.0,0.0226390461208308,0.5100511052980898,17094.8496,17050.0,0.0026235738277569,1.0107920148305845,0.9630696843936613,-0.0477223304369233,1686429.521426639,-3850242.538031144,-5536672.059457783,2.417007999999996,27.733121,53713325.0,54293000.0,45896575.0,44201600.0,-6521000.0,-11979000.0,0.1799231230967508,0.4763978392826122,39945.75,39800.0,0.0036486985474049,1,1,6,0,2,0,0,0.0,1,-0.0038081411374334,61.05,1.0
2023-04-03,0.7488764953979126,0.8224169269615395,0.0735404315636268,6770415.640618692,6588151.414553474,-182264.22606521845,1.3443970000000007,1.2207620000000006,84668100.0,63405950.0,77188100.0,63480800.0,-5190100.0,639100.0,-0.0267288458297504,0.102372552992989,17404.0996,17400.0,0.0002355536967854,1.1014305309814492,1.0862828263734536,-0.0151477046079955,1694245.598912435,2017269.365693698,323023.76678126305,1.1776279999999986,3.079111000000001,24896350.0,27421600.0,23541475.0,25572700.0,-1144950.0,-1535700.0,0.3862647293320519,0.0410512057496431,40819.4492,40700.0,0.0029262815236615,0,1,1,1,0,0,0,0.0,0,0.0258329709857556,27.75,1.0
2023-04-10,0.7265518543908001,0.7831357724385546,0.0565839180477545,3889867.5222117617,2739311.279881347,-1150556.2423304147,1.2106889999999986,0.7150350000000003,71479000.0,51933200.0,66886550.0,52381250.0,-4595900.0,1076100.0,-0.002836187354634,-0.0425440169475396,17621.3008,17600.0,0.0012088097378146,0.6857304652168784,0.7195105005312542,0.0337800353143757,357397.2287590353,-430182.3836089712,-787579.6123680065,0.7337799999999994,-1.1546059999999994,31786250.0,21796800.0,29505650.0,21229625.0,-2313225.0,-616875.0,-0.5991511438600268,-0.0220480958338417,40810.8516,40900.0,-0.0021844288101059,1,0,1,1,0,0,0,0.0,0,0.0298758420831224,37.95,1.0
